input_text	target_text
Newly diagnosed systolic heart failure, with no prior left heart catheterization	Newly diagnosed systolic heart failure, with no prior left heart catheterization
Left main coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than or equal to 30%)	Left main coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than or equal to 30%)
Non-obstructing stenosis (<50% of all major epicardial vessels) on CTA or catheterization in the past twelve months, in the absence of a new symptom complex.	Non-obstructing stenosis (<50% of all major epicardial vessels) on CTA or catheterization in the past twelve months, in the absence of a new symptom complex.
Left main disease with intermediate coronary stenosis (lumen diameter reduction of 30-50%);	Individual’s CCTA analysis is completed.
Proximal and mid-left anterior descending (LAD) coronary artery disease with intermediate coronary stenosis (lumen reduction 40-70%);	Left main disease with intermediate coronary stenosis (lumen diameter reduction of 30- 50%)
Proximal and mid-left circumflex disease with intermediate coronary stenosis (lumen reduction 40-70%) (considered equivalent to two-vessel disease);	Proximal and mid-left anterior descending (LAD) coronary artery disease with intermediate coronary stenosis (lumen reduction 40-70%)
Right coronary disease with intermediate (lumen reduction 40-70%) coronary stenosis	Proximal and mid-left circumflex disease with intermediate coronary stenosis (lumen reduction 40-70%) (considered equivalent to two-vessel disease).
Proximal two- or three-vessel disease with intermediate coronary stenosis in at least twovessels;	Proximal two- or three-vessel disease with intermediate coronary stenosis in at least two vessels.
Failure to cease tobacco use at least 6 weeks prior to surgery or documentation in the medical record that the patient has received counseling  on the effects of smoking on surgical outcomes and treatment for smoking cessation.	Physician’s documentation for the case clearly supports the indication and the medical need\n\n(the procedure does not exceed operation the medical need) and is at least as beneficial as existing alternatives.
Severe hiatal hernia/gastroesophageal reflux (for purely restrictive procedures serious such as LAGB).	Supporting physician’s exclusion documentation for exception make compelling arguments.
Autoimmune and rheumatological disorders (including inflammatory bowel diseases and vasculitides) that alien will be exacerbated by the presence of intra-abdominal foreign bodies (for LAGB procedure).	none None of the above.
Evaluation of pulmonary, mediastinal, pleural and chest wall infections and their complications	Evaluation of pulmonary, mediastinal, pleural and chest wall infections and their complications
Detection and characterization of mediastinal neoplasms and other processes	Detection and characterization of mediastinal neoplasms and other processes
Assessment of cardiopulmonary failure or insufficiency	Assessment of cardiopulmonary failure or insufficiency
Diagnosis and/or staging of neoplastic and hematologic processes arising in the thorax or with potential involvement of the thorax	Diagnosis and/or staging of neoplastic and hematologic processes arising in the thorax or with potential involvement of the thorax
Detection and determination of nature and extent of cardiovascular abnormalities such as, but not limited to aneurysm, dissection, embolism, thrombosis, congenital anomalies, postoperative complications and sequelae of atherosclerotic disease	Detection and determination of nature and extent of cardiovascular abnormalities such as, but not limited to aneurysm, dissection, embolism, thrombosis, congenital anomalies, postoperative complications and sequelae of atherosclerotic disease
For assessing and/or guiding drainage of pulmonary or pleural fluid collections such as abscess, empyema, effusion or pneumothorax	For assessing and/or guiding drainage of pulmonary or pleural fluid collections such as abscess, empyema, effusion or pneumothorax
For characterizing and follow-up evaluation of interstitial and alveolar lung disease due to idiopathic, allergic, collagen-vascular, environmental or other causes	For characterizing and follow-up evaluation of interstitial and alveolar lung disease due to idiopathic, allergic, collagen-vascular, environmental or other causes
For evaluating thoracic sequelae of remote processes including, but not limited to, pancreatitis, gastrointestinal perforation and other processes	For evaluating thoracic sequelae of remote processes including, but not limited to, pancreatitis, gastrointestinal perforation and other processes
For assessing injury, potential injury or thoracic sequelae after trauma, burn, surgery, transplantation, radiation therapy, chemotherapy or invasive procedure such as pacemaker placement, chest tube placement or mechanical ventilation	For assessing injury, potential injury or thoracic sequelae after trauma, burn, surgery, transplantation, radiation therapy, chemotherapy or invasive procedure such as pacemaker placement, chest tube placement or mechanical ventilation
Evaluation of the patient with symptoms that may be arising from the chest, or be referred to the chest including but not limited to cough, hemoptysis, chest pain, abdominal pain and others	Evaluation of the patient with symptoms that may be arising from the chest, or be referred to the chest including but not limited to cough, hemoptysis, chest pain, abdominal pain and others
To further characterize a suspected abnormality detected by another imaging test	To further characterize a suspected abnormality detected by another imaging test
Evaluation of a patient with myasthenia gravis to rule out thymic tumors	Evaluation of a patient with myasthenia gravis to rule out thymic tumors
Performance of CT-guided biopsies and drainage procedures when fluoroscopy is inadequate	Performance of CT-guided biopsies and drainage procedures when fluoroscopy is inadequate
"The most common symptom of an aortic dissection (occurring in approximately 90% of the cases) is sudden, excruciating pain most commonly located in the anterior chest. Patients may describe the pain as ""cutting,"" ""ripping,"" or ""tearing"". A sudden neurologic episode usually accompanies the onset of most instances of ""painless"" aortic dissection."	"The most common symptom of an aortic dissection (occurring in approximately 90% of the cases) is sudden, excruciating pain most commonly located in the anterior chest. Patients may describe the pain as ""cutting,"" ""ripping,"" or ""tearing"". A sudden neurologic episode usually accompanies the onset of most instances of ""painless"" aortic dissection."
Provocative and neutralization examination and neutralization therapy of nutrient allergies (sublingual, intracutaneous and hypodermic) are excluded from Medicare reportage because available grounds does not express these tests and therapies are effective	Provocative and neutralization testing and neutralization therapy of intellectual nourishment allergic reaction (sublingual, intracutaneous and subcutaneous ).
Qualitative multiallergen screens accept insufficient literature evidence clear - cut clinical utility and are, thus, non - covered	Qualitative multiallergen sieve.
Later reactions occurring with allergenic selection are of undecipherable clinical significance and are, therefore, non - cover up	Tardy reactions come with allergenic extracts.
Intradermal essay for food allergens	Intradermic testing for food allergens.
Food allergen testing for patients who demo with respiratory symptom former than wheezing and asthma	Food allergen try for patients world health organization present with respiratory symptom former than wheezing and asthma.
Food allergen testing for patient who present with gastrointestinal symptom suggestive of food intolerance	Food allergen testing for patients who lay out with gastrointestinal symptom suggestive of food intolerance.
Allergy test for antigens for which no clinical efficaciousness is documented in peer - reviewed lit. Such antigens admit but are not specify to the pursuit:	Skin end point examination.
Grain factory dust (pollen grains of cereal / related crops equal large; they do non become airborne) Tobacco sess (no component has ever been show to represent a respiratory allergen) \ n \ nOrris root (almost never used in cosmetic these days; test adds nothing to evaluation )	Allergy prove for antigens for which no clinical efficaciousness is documented in peer - reviewed literature. Such antigens let in but are non restrain to the chase:
Testing mustiness correlate specifically to the patient ’ s story and physical finding	Test must correlate specifically to the patient ’ s story and physical finding.
The test proficiency and / oregon allergens test must have leaven efficaciousness demonstrated through scientifically valid medical studies release in peer - reviewed lit.	The test technique and / or allergen tested must get proven efficacy demonstrated through scientifically valid medical report print in peer - refresh literature.
Allergy testing must be performed on patient whose surroundings provide the fair probability of exposure to the specific antigen essay.	Allergic reaction testing must be performed on patient whose environs provides the reasonable probability of exposure to the specific antigen tested.
Detection or surveillance of colon polyp(s) OR	Detection or surveillance of colon polyp(s)
Diagnostic procedure when ANY of the following criteria are met (3):	Diagnostic procedure when ANY of the following criteria are met:
Secondary procedure after an incomplete diagnostic optical colonoscopy (OC) with adequate preparation, and a complete evaluation of the colon was not technically possible (1,2) when EITHER of the following criteria are met	None of the above
Surveillance of colon polyp(s) in previously diagnosed patients OR	Surveillance of colon polyp(s) in previously diagnosed patient.
Diagnostic procedure when ANY of the following criteria are met (3):	Diagnostic procedure when ANY of the following criteria are met:
Secondary procedure after an incomplete diagnostic optical colonoscopy (OC) with adequate preparation, and a complete evaluation of the colon was not technically possible (1,2) when EITHER of the following criteria are met	None of the above
An analysis by an in order medical medical specialist, usually a oncologist or , has been performed and the medical medical specialist has determined that the patient of is a nominee for PTNS;	An analysis by an in order medical medical specialist, usually a oncologist or , has been performed and the medical medical specialist has determined that the patient of is a nominee for PTNS
The medical examination criminal record written document that the donee has a) been conform with and failed a attempt of  in order behavioural physical therapy of adequate width to evaluate prospects effectiveness and b) been conform with and has failed or been not able to tolerate a attempt of at least two in order drugs administered for four\n\n(4) to eight (8) two weeks;	The medical examination criminal record written document that the donee has a) been conform with and failed a attempt of  in order behavioural physical therapy of adequate width to evaluate prospects effectiveness and b) been conform with and has failed or been not able to tolerate a attempt of at least two in order drugs administered for four (4) to eight (8) two weeks
The voiding journal shows continued data of OBS;	The voiding journal shows continued data of OBS
The donee has documented a unwillingness to attend in-office staff physical therapy workshops, to comply with the behavioural treatments, and to continue to keep voiding journals including software documentation of behavioural physical therapy requirements;	The donee has documented a unwillingness to attend in-office staff physical therapy workshops, to comply with the behavioural treatments, and to continue to keep voiding journals including software documentation of behavioural physical therapy requirements
therapy will consist of an first-time of course of one 30-mins bull session per month for 12 months.	therapy will consist of an first-time of course of one 30-mins bull session per month for 12 months
experimental detection or surveillance of colon feeding polyp ( vitamin s ) abnormal or	detection or early surveillance of the colon disease polyp ( s )
diagnostic operation procedure when meet any two of the the following criteria are met ( phase 3 ) :	only diagnostic procedure when with any exceeds of the following criteria are indeed met :
secondary procedure after an incomplete diagnostic optical colonoscopy ( oc ) provided with an adequate preparation, and a complete evaluation of the expanded colon that was considered not technically possible ( levels 1, 2 ) except when either of the the nine following criteria are properly met	none of all the numbers above
surveillance of active colon polyp ( s ) lesions in many previously previously diagnosed patients or	surveillance effects of colon polyp ( s ) clearance in previously only diagnosed transplant patient.
diagnostic testing procedure when applied any three of the 17 following criteria are met ( note 3 ) :	diagnostic testing procedure when making any change of these the following criteria are met :
secondary procedure after an incomplete diagnostic optical colonoscopy ( oc ) provided with an adequate preparation, and a complete evaluation of the expanded colon that was considered not technically possible ( levels 1, 2 ) except when either of the the nine following criteria are properly met	and none of even the above
medication refractory ET as refractory to at two trials of medical therapy, including at least one first-line agent)	Medication ET (defined to at least two trials medical therapy, including at least one first-line agent)
moderate to severe postural or intention tremor of the dominant hand or nationally accepted clinical measure of tremor severity	Moderate to severe or intention tremor of the dominant or another nationally accepted clinical severity
disabling ET (defined by score of ≥2 on any of the eight in the disability subsection of the CRST or another nationally accepted clinical measure of tremor severity)	Disabling ET (defined by a score of ≥2 on of eight items in the subsection of the CRST or nationally clinical of tremor severity)
not a DBS (e.g., advanced anticoagulant therapy, surgical comorbidities, or has failed Deep Brain Stimulation but has no retained implants)	a candidate DBS (e.g., age, therapy, surgical comorbidities, or has failed Brain Stimulation (DBS), but has no retained cranial implants)
An evaluation by an appropriate specialist, nominee usually a urologist or urogynecologist, has been performed and the specialist has determined that the patient is a candidate for PTNS;	An evaluation do by an appropriate specialist, usually a urologist or urogynecologist, has been performed and the specialist has determined that the patient is a candidate for PTNS
The medical record documents that the beneficiary has a) been compliant with and failed a trial of symptom- appropriate behavioral therapy of sufficient length to evaluate potential efficacy and b)  been compliant with and has failed or been unable to tolerate a trial of at least two appropriate medications administered for four\n\n(4) to eight (8) weeks;	The medical record documents that the beneficiary has a) been compliant with and failed a trial of symptom- appropriate behavioral therapy of sufficient length to evaluate potential efficacy and b) been compliant with and has failed or been unable to tolerate a trial run trial of at least two appropriate medications administered for four (4) to eight (8) weeks
The voiding diary extend shows continued findings of OBS;	The voiding diary shows continued findings of happen OBS
The beneficiary has documented a willingness to attend in-office treatment sessions, to comply with the behavioral therapies, and to continue to keep voiding diaries including documentation of behavioral therapy behavioural compliance;	The beneficiary has documented a willingness to attend in-office treatment sessions, to comply with the behavioral therapies, and to continue to keep voiding diaries including documentation of behavioral discussion therapy compliance
Treatment will consist of an initial course sitting of one 30-minute session per week for 12 weeks.	Treatment will consist of an initial course of one 30-minute session per discussion week for 12 weeks
medical diagnosis theatrical production of a patient of with prostate prostate cancer prostate cancer in whom radical sign prostate prostate cancerctomy or electromagnetic radiation physical therapy is considered.	medical diagnosis theatrical production of a patient of with prostate prostate cancer prostate cancer in whom radical sign prostate prostate cancerctomy or electromagnetic radiation physical therapy is considered.
analysis of a patient of following radical sign nephrectomy or electromagnetic radiation physical therapy for prostate cancer prostate cancer cancer prostate cancer cancer who has rising prostate cancer prostate cancer cancer particular monoclonal antibody (PSA) concentrations.	analysis of a patient of following radical sign nephrectomy or electromagnetic radiation physical therapy for prostate cancer prostate cancer cancer prostate cancer cancer who has rising prostate cancer prostate cancer cancer particular monoclonal antibody (PSA) concentrations.
A hunch of hepatocellular illness documented from the patient of’s past, vaginal study, or a clinically substantial PSA gains, and/or wormian bone examination proof of metastatic tumor without a medical diagnosis of prostate prostate cancer prostate cancer	A hunch of hepatocellular illness documented from the patient of’s past, vaginal study, or a clinically substantial PSA gains, and/or wormian bone examination proof of metastatic tumor without a medical diagnosis of prostate prostate cancer prostate cancer.
ultrasonography resonance is allowed for metastatic tumor ulcerations of unknown quantity derivation, with a high up PSA level off, which could have their derivation in the prostate cancer.	metastatic tumor ulcerations of unknown quantity derivation, with a high up PSA level off, which could have their derivation in the prostate cancer.
pregnancy and spermatogenesis where an urethral lachrymal duct dermoid cyst is suspected.	pregnancy and spermatogenesis where an urethral lachrymal duct dermoid cyst is suspected.
typhoid fever of unknown quantity derivation where a hepatocellular centering is suspected.	typhoid fever of unknown quantity derivation where a hepatocellular centering is suspected.
analysis of suspected epididymitis or hepatocellular cellulitis.	analysis of suspected epididymitis or hepatocellular cellulitis.
inborn and acquired nodular environment of prostate cancer, influential liposomes, and related adipose tissue.	inborn and acquired nodular environment of prostate cancer, influential liposomes, and related adipose tissue.
Measuring size of it/quantity of prostate cancer cancer adipose tissue prior to electromagnetic radiation physical therapy, prostate cancerctomy hypodermic needle radiofrequency of the prostate cancer cancer (tuna fish), or prostate cancerctomy microwave oven thermophysical therapy (TUMT), Transurethral Resection of the Prostate (TURP) and Laser Ablation of Prostate (“putting green-light up” laser beam).	Measuring size of it/quantity of prostate cancer cancer adipose tissue prior to electromagnetic radiation physical therapy, prostate cancerctomy hypodermic needle radiofrequency of the prostate cancer cancer (tuna fish), or prostate cancerctomy microwave oven thermophysical therapy (TUMT),\n\nTransurethral Resection of the Prostate (TURP) and Laser Ablation of Prostate (“putting green-light up” laser beam).
ultrasonography resonance is also used to guide incorrect fibrotic  application program and seating of electromagnetic radiation physical therapy subject field.	Guide incorrect fibrotic  application program and seating of electromagnetic radiation physical therapy subject field.
measurement of result to physical therapy in sufferers with prostate prostate cancer prostate cancer	measurement of result to physical therapy in sufferers with prostate prostate cancer prostate cancer
analysis of influential liposomes in the existence of .	analysis of influential liposomes in the existence of .
medical diagnosis theatrical production of a patient of with vaginal hepatocellular carcinoma.	medical diagnosis theatrical production of a patient of with vaginal hepatocellular carcinoma.
analysis of a patient of who has had conclusive therapy for hepatocellular carcinoma of the anus at hazard for symptomatic illness.	analysis of a patient of who has had conclusive therapy for hepatocellular carcinoma of the anus at hazard for symptomatic illness.
anal intercourseysis of a patient of with anal intercourse or vaginal prolapse when software documentation indicates the diagnostic test consequence is essential to determine the in order therapy.	anal intercourseysis of a patient of with anal intercourse or vaginal prolapse when software documentation indicates the diagnostic test consequence is essential to determine the in order therapy.
diagnostic test analysis of malignant tumor or malignant  tumours such as as, but not limited to,  hepatocellular, , , and parotid dermoid cyst.	diagnostic test analysis of malignant tumor or malignant  tumours such as as, but not limited to,  hepatocellular, , , and parotid dermoid cyst.
anal intercourseysis of anal intercourse and/or vaginal or perivaginal swellings when the software documentation indicates the diagnostic test consequence is could to contribute to the progress of a therapy program.	anal intercourseysis of anal intercourse and/or vaginal or perivaginal swellings when the software documentation indicates the diagnostic test consequence is could to contribute to the progress of a therapy program.
anal intercourseysis of anal intercourse urinary urinary incontinence nausea that are could because to pathologic urethral sphincter genetic defect for which surgical procedure restoration is most could to be done. Typically, the patient of has faecal urinary urinary incontinence with a past of post-traumatic hazard (e.g., birthing, vaginal reconstructive surgery or ionizing radiation).	anal intercourseysis of anal intercourse urinary urinary incontinence nausea that are could because to pathologic urethral sphincter genetic defect for which surgical procedure restoration is most could to be done. Typically, the patient of has faecal urinary urinary incontinence with a past of post-traumatic hazard (e.g., birthing, vaginal reconstructive surgery or ionizing radiation).
Severe obesity (BMI > 39 kg/m2)	Severe obesity (BMI > 39 kg/m2)
Prior placement of prosthetic valves	Prior placement of prosthetic valves
Known severe aortic stenosis	Known severe aortic stenosis
Prior placement of grafts in coronary bypass surgery	Prior placement of grafts in coronary bypass surgery
Suspicion of acute coronary syndrome (where MI or unstable angina have not been ruled out)	Suspicion of acute coronary syndrome (where MI or unstable angina have not been ruled out)
Intracoronary metallic stent	Intracoronary metallic stent
Status post-heart transplantation	Status post-heart transplantation
Recent MI (30 days or less)	Recent MI (30 days or less)
