,doc_id,id,text,Question,category,pre_process
22,L334430,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.",Select any ONE:,0,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
23,L334430,nP75rohYN1,"Treatment regimens consist of 30-minute weekly sessions for 12 weeks. Studies demonstrate that PTNS is safe with statistically significant improvements in patient assessment of overactive bladder (OAB) symptoms (frequency, nocturia, urgency and urge incontinence) and may be considered a clinically significant alternative to pharmacotherapy.",Select any ONE:,0,treatment regimen consist 30-minute weekly session 12 week study demonstrate ptns safe statistically significant improvement patient assessment overactive bladder oab symptom frequency nocturia urgency urge incontinence may considered clinically significant alternative pharmacotherapy
24,L340900,io9EZwFYBN,"Laser prostatectomy is indicated as a treatment modality for patients with bladder neck obstruction secondary to benign prostatic hyperplasia (BPH). Laser surgery provides some advantages over traditional TURP in that the\n\nCreated on 10/25/2021. Page 2 of 7\n\n\nhospital stay is decreased, patients can resume normal activities quicker and morbidity is reduced.",Laser prostatectomy is indicated as a treatment modality for patients with\n\nbladder neck obstruction secondary to benign prostatic hyperplasia (BPH) and….(Please\n\nselect all that apply),2,laser prostatectomy indicated treatment modality patient bladder neck obstruction secondary benign prostatic hyperplasia bph laser surgery provides advantage traditional turp the\n\ncreated 10/25/2021 page 2 7\n\n\nhospital stay decreased patient resume normal activity quicker morbidity reduced
25,L343150,QsnqxfrYoj,An ECG may help identify cardiac disorders as part of a preoperative clinical evaluation. A preoperative ECG may be reasonable and necessary under one of the following conditions:,Select all that apply:,1,ecg may help identify cardiac disorder part preoperative clinical evaluation preoperative ecg may reasonable necessary one following condition
26,L343150,n5Mbzv2Gal,"An ECG is indicated to diagnose or treat a patient for symptoms, signs, or a history of heart disease; or systemic conditions that affect the heart, including:",Select all that apply:,1,ecg indicated diagnose treat patient symptom sign history heart disease systemic condition affect heart including
27,L343800,7tqfrtlLTg,Posterior Segment optical coherence tomography (OCT) is considered to be reasonable and necessary to:,Select all that apply:,1,posterior segment optical coherence tomography oct considered reasonable necessary
28,L343800,A9yXA50ImX,Anterior segment OCT is considered to be reasonable and necessary to:,Select all that apply:,1,anterior segment oct considered reasonable necessary
29,L359360,QponGZK_Um,Facet Joint Interventions are considered medically reasonable and necessary for the diagnosis and treatment of chronic pain in patients who meet ALL the following criteria:,Facet Joint Interventions are considered for the patient with….(select all that\n\napply),2,facet joint intervention considered medically reasonable necessary diagnosis treatment chronic pain patient meet following criterion
30,L382310,WCN99NFwKQ,Endovenous stents may be placed for patients with severely symptomatic venous obstructions due to any of the following:,Patient has severely symptomatic venous obstructions due to (Select all that apply):,1,endovenous stent may placed patient severely symptomatic venous obstruction due following
31,L334440,nwI2JUQm7p,Absolute and relative contraindications to exercise testing (field walking tests) include:,. Select all that apply:,1,absolute relative contraindication exercise testing field walking test include
32,L334440,nwI2JUQm7p,Absolute and relative contraindications to exercise testing (field walking tests) include:,Select all that apply:,1,absolute relative contraindication exercise testing field walking test include
33,L351380,YKf17eVekr,Amyotrophic Lateral Sclerosis (ALS),Patient has (Select all that apply):,1,amyotrophic lateral sclerosis al
34,L336280,MVcWL0izVo,"Panretinal laser photocoagulation is indicated for the treatment or management of patients with proliferative or pre- proliferative diabetic retinopathy and patients with severe levels of diabetic macular edema associated with pre- proliferative retinopathy, and other proliferative retinopathies.",Please select all that apply,1,panretinal laser photocoagulation indicated treatment management patient proliferative pre- proliferative diabetic retinopathy patient severe level diabetic macular edema associated pre- proliferative retinopathy proliferative retinopathy
