,doc_id,id,text,Question,category,pre_process
20,L339993,eX5uiLYS4e,"Whether patients have been previously diagnosed and are under handling for glaucoma surgery are newly diagnosed, pachymetry testament be covered once per lifetime, or more frequently in cases where at that place has personify surgical or non - surgical trauma.",There make be surgical or non - surgical harm.,2,whether patient previously diagnosed handling glaucoma surgery newly diagnosed pachymetry testament covered per lifetime frequently case place personify surgical non - surgical trauma
21,L388390,6MQt5ZQYq6,FFRct is not considered reasonable in the following clinical circumstance,Please select all that apply for the patient,1,ffrct considered reasonable following clinical circumstance
22,L388390,fU_cR0J44D,"FDA-approved FFRct technology may be considered reasonable and necessary in the management of patients with symptomatic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed and demonstrates one of the following criteria:","Patient with symptomatic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed",2,fda-approved ffrct technology may considered reasonable necessary management patient symptomatic stable ischemic heart disease sihd ccta analysis completed demonstrates one following criterion
23,L388390,fU_cR0J44D,"FDA-approved FFRct technology may be considered reasonable and necessary in the management of patients with symptomatic, stable ischemic heart disease (SIHD) when the CCTA analysis is completed and demonstrates one of the following criteria:", Patient demonstrates one of the following criteria…(Please select all that apply),1,fda-approved ffrct technology may considered reasonable necessary management patient symptomatic stable ischemic heart disease sihd ccta analysis completed demonstrates one following criterion
24,L377381,KxhIgmLhD1,MRgFUS bilateral  is considered medically sensible and essential in sufferers with all four of the following standards:,patient of has (Select all that apply):,1,mrgfus bilateral considered medically sensible essential sufferer four following standard
25,L385710,DLGOxcjSbT,Diagnostic and/or surveillance* (performed for signs/symptoms of disease) colon capsule colonoscopy (CCE) is medically necessary for the detection of colon polyps when EITHER of the following criteria are met:,"Patient’s secondary procedure after an incomplete diagnostic optical colonoscopy (OC) with adequate preparation, and a complete evaluation of the colon was not technically possible, in which there is (Select all that apply):",1,diagnostic and/or surveillance * performed signs/symptoms disease colon capsule colonoscopy cce medically necessary detection colon polyp either following criterion met
26,L385710,DLGOxcjSbT,Diagnostic and/or surveillance* (performed for signs/symptoms of disease) colon capsule colonoscopy (CCE) is medically necessary for the detection of colon polyps when EITHER of the following criteria are met:,"Primary procedure in patient with major risks for OC or moderate sedation as indicated from an evaluation of the patient by a board certified or board eligible gastroenterologist, a surgeon trained in endoscopy, or a physician with equivalent endoscopic training, in which there is (Select all that apply):",1,diagnostic and/or surveillance * performed signs/symptoms disease colon capsule colonoscopy cce medically necessary detection colon polyp either following criterion met
27,L357553,xsJ75T45WE,"Vascular studies be not the initial symptomatic sense modality for the evaluation of abdominal pain / tenderness. At that place must be a high index of suspicion that the pain is caused by a vascular disorder, such as mesentery ischaemia.",Select all that apply:,1,vascular study initial symptomatic sense modality evaluation abdominal pain / tenderness place must high index suspicion pain caused vascular disorder mesentery ischaemia
28,L357553,y6Sp9L5w66,Signs / symptoms of ischaemia or altered line of descent flow are present;,Select all that utilise:,2,sign / symptom ischaemia altered line descent flow present
29,L357553,D24tgSUesO,Uncontrolled hypertension.,Select all that apply:,1,uncontrolled hypertension
30,L357553,jIvrbXAT95,"Aorta, Subscript vena cava, Iliac Vasculature and Bypass graft \ n \ nIndications:",Select all that apply:,1,aorta subscript vena cava iliac vasculature bypass graft \ n \ nindications
31,L357550,xsJ75T45WE,"Vascular studies are not the initial diagnostic modality for the evaluation of abdominal pain/tenderness. There must be a high index of suspicion that the pain is caused by a vascular disorder, such as mesentery ischemia.",Select all that apply:,1,vascular study initial diagnostic modality evaluation abdominal pain/tenderness must high index suspicion pain caused vascular disorder mesentery ischemia
32,L357550,y6Sp9L5w66,Signs/symptoms of ischemia or altered blood flow are present;,Select all that apply:,1,signs/symptoms ischemia altered blood flow present
33,L357550,D24tgSUesO,Uncontrolled hypertension.,Select all that apply:,1,uncontrolled hypertension
34,L357550,jIvrbXAT95,"Aorta, Inferior vena cava, Iliac Vasculature and Bypass grafts\n\nIndications:",Select all that apply:,1,aorta inferior vena cava iliac vasculature bypass grafts\n\nindications
35,L351387,YKf17eVekr,Amyotrophic Lateral Sclerosis induration (ALS),Patient has (Select patient role all that apply):,1,amyotrophic lateral sclerosis induration al
36,L382312,WCN99NFwKQ,endovenous valve stents available may therefore be specifically placed suitable for patients with a severely severe symptomatic peripheral venous obstructions due to any of the symptoms following :,each patient has had severely elevated symptomatic peripheral venous circulation obstructions due to ( select as all that apply ) :,1,endovenous valve stent available may therefore specifically placed suitable patient severely severe symptomatic peripheral venous obstruction due symptom following
37,L334596,WNKBNhLtzQ,"The patient has experienced OAB with associated symptoms frequency, and urge for at least months the has resulted in significant disability [the symptoms are limiting the patient’s ability activities of daily living and",Select all that apply:,1,patient experienced oab associated symptom frequency urge least month resulted significant disability [ symptom limiting patient ’ ability activity daily living
38,L339990,r9OD3Lwdzb,"Medicare will not pay for use of pachymetry when used in preparation for surgery to reshape the cornea of the eye for the purpose of correcting visual problems (refractive surgery), such as myopia (nearsightedness) and hyperopia (farsightedness).","Pachymetry is used in preparation for surgery to reshape the cornea of the eye for the purpose of correcting visual problems (refractive surgery), such as myopia (nearsightedness) and hyperopia (farsightedness)",2,medicare pay use pachymetry used preparation surgery reshape cornea eye purpose correcting visual problem refractive surgery myopia nearsightedness hyperopia farsightedness
39,L339990,AMiyS3_JUi,Medicare will consider corneal pachymetry to be medically necessary and reasonable when performed only by\n\nCreated on 10/25/2021. Page 2 of 8\n\n\nophthalmologist and optometrists.,The procedure is performed only by ophthalmologist and optometrists,2,medicare consider corneal pachymetry medically necessary reasonable performed by\n\ncreated 10/25/2021 page 2 8\n\n\nophthalmologist optometrist
40,L339990,xEjgo0Ovke,"Medicare will consider corneal pachymetry to be medically necessary and reasonable when performed to determine the amount of endothelial trauma sustained during surgery, assessment of the health of the cornea pre-operatively in Fuch's dystrophy, post ocular trauma and for the assessment of corneal thickness or (in suspected glaucoma) following the diagnosis of increased intraocular pressure prior to the initiation of a treatment regimen for glaucoma. It is expected that services for the measurement of corneal thickness following the diagnosis of increased intraocular pressure will be performed once in a lifetime, unless there has been interval corneal trauma or surgery.",The procedure is performed… (Please select all that apply),1,medicare consider corneal pachymetry medically necessary reasonable performed determine amount endothelial trauma sustained surgery assessment health cornea pre-operatively fuch dystrophy post ocular trauma assessment corneal thickness suspected glaucoma following diagnosis increased intraocular pressure prior initiation treatment regimen glaucoma expected service measurement corneal thickness following diagnosis increased intraocular pressure performed lifetime unless interval corneal trauma surgery
41,L339990,eX5uiLYS4e,"Whether patients have been previously diagnosed and are under treatment for glaucoma or are newly diagnosed, pachymetry will be covered once per lifetime, or more frequently in cases where there has been surgical or non- surgical trauma.",Please select any ONE,0,whether patient previously diagnosed treatment glaucoma newly diagnosed pachymetry covered per lifetime frequently case surgical non- surgical trauma
42,L339990,eX5uiLYS4e,"Whether patients have been previously diagnosed and are under treatment for glaucoma or are newly diagnosed, pachymetry will be covered once per lifetime, or more frequently in cases where there has been surgical or non- surgical trauma.",There has been surgical or non- surgical trauma.,2,whether patient previously diagnosed treatment glaucoma newly diagnosed pachymetry covered per lifetime frequently case surgical non- surgical trauma
43,L336282,MVcWL0izVo,"using panretinal imaging laser photocoagulation is indicated for the treatment treatment or group management decisions of patients with proliferative or complete pre - proliferative diabetic retinopathy and patients with severe upper levels usually of diabetic macular edema associated with pre - existing proliferative retinopathy, both and other proliferative retinopathies.",now please always select all that apply,1,using panretinal imaging laser photocoagulation indicated treatment treatment group management decision patient proliferative complete pre - proliferative diabetic retinopathy patient severe upper level usually diabetic macular edema associated pre - existing proliferative retinopathy proliferative retinopathy
44,L333966,9xGnKXNIxT,Treatments for relapse be for those patients who achieve a in OBS the initial treatment and,request is for…(Please select all that apply),1,treatment relapse patient achieve ob initial treatment
45,L333966,3WHYNvR3nv,considered reasonable and necessary for a beneficiary when the following are,select any all apply,1,considered reasonable necessary beneficiary following
46,L333966,9xGnKXNIxT,Treatments for relapse be for those patients who achieve a in OBS the initial treatment and,achieved a >50% in OBS symptoms the initial treatment and then relapse,2,treatment relapse patient achieve ob initial treatment
47,L334550,bvIKI9mbiW,"The WMC should not be administered to patients with a history of gastric bezoar, swallowing disorders, dysphagia, suspected strictures/fistulae in the GI tract, physiologic GI obstruction, GI surgery within the previous 3 months,\n\nCreated on 10/25/2021. Page 2 of 7\n\n\nCrohn’s disease, diverticulitis, or who have an implanted electromechanical medical device (such as pacemaker or infusion pump). The capsule is not FDA approved for use in children.", Patient has a history of (Select all that apply):,1,wmc administered patient history gastric bezoar swallowing disorder dysphagia suspected strictures/fistulae gi tract physiologic gi obstruction gi surgery within previous 3 months\n\ncreated 10/25/2021 page 2 7\n\n\ncrohn ’ disease diverticulitis implanted electromechanical medical device pacemaker infusion pump capsule fda approved use child
48,L334550,f8I-fM5_CI,The Wireless Motility Capsule (WMC) has been studied in many centers. The capsule does not use radioactive materials and has minimal safety risks. Palmetto GBA will cover the device when:,Wireless Motility Capsule (WMC) (Select all that apply):,1,wireless motility capsule wmc studied many center capsule use radioactive material minimal safety risk palmetto gba cover device
49,L334177,H_gq07SKud,The allergic reaction following allergy testing is non-covered by Medicare:,Requesting allergy bespeak testing for (Select all that apply):,1,allergic reaction following allergy testing non-covered medicare
50,L334177,LgPyRLChqk,"Allergy testing is covered when a patient presents with clinically significant allergic history or hide symptoms that are not controllable by empiric conservative therapy. For Medicare to cover allergy testing, all of the following criteria must be met:",Select select all that apply:,1,allergy testing covered patient present clinically significant allergic history hide symptom controllable empiric conservative therapy medicare cover allergy testing following criterion must met
51,L334177,h_9VvcRZ6P,"Retesting with the same antigen(s) should rarely be necessary within a 3-year period. Exceptions include young children with negative skin tests, or older children and adults with negative skin tests procedure in the face of persistent symptoms. Routine repetition of skin tests is not indicated (i.e., annually). If under specific circumstances, extensive repeat testing is required within a 3-year period, those circumstances must be clearly documented in the medical record including an explanation as to why the original testing is unacceptable.",employ Applying for (any ONE):,2,retesting antigen rarely necessary within 3-year period exception include young child negative skin test older child adult negative skin test procedure face persistent symptom routine repetition skin test indicated ie annually specific circumstance extensive repeat testing required within 3-year period circumstance must clearly documented medical record including explanation original testing unacceptable
52,L334177,h_9VvcRZ6P,"Retesting with the same antigen(s) should rarely be necessary within a 3-year period. Exceptions include young children with negative skin tests, or older children and adults with negative skin tests procedure in the face of persistent symptoms. Routine repetition of skin tests is not indicated (i.e., annually). If under specific circumstances, extensive repeat testing is required within a 3-year period, those circumstances must be clearly documented in the medical record including an explanation as to why the original testing is unacceptable.",Select all that select apply:,1,retesting antigen rarely necessary within 3-year period exception include young child negative skin test older child adult negative skin test procedure face persistent symptom routine repetition skin test indicated ie annually specific circumstance extensive repeat testing required within 3-year period circumstance must clearly documented medical record including explanation original testing unacceptable
53,L334177,4xGbtAEC3k,"Percutaneous testing for food allergens is covered for patients with a clinical presentation suggestive of significant IgE urtication mediated food allergy. Such patients will have presented with signs and symptoms of such conditions as angioedema, urticaria or anaphylaxis after ingestion of specific foods. Testing for food allergies in patients who present with significant respiratory symptoms alone may be required in certain instances.",select Select any ONE:,0,percutaneous testing food allergen covered patient clinical presentation suggestive significant ige urtication mediated food allergy patient presented sign symptom condition angioedema urticaria anaphylaxis ingestion specific food testing food allergy patient present significant respiratory symptom alone may required certain instance
54,L334177,4xGbtAEC3k,"Percutaneous testing for food allergens is covered for patients with a clinical presentation suggestive of significant IgE urtication mediated food allergy. Such patients will have presented with signs and symptoms of such conditions as angioedema, urticaria or anaphylaxis after ingestion of specific foods. Testing for food allergies in patients who present with significant respiratory symptoms alone may be required in certain instances.",There is a documented IgE-mediated reaction occurred due to fall out (Select all that apply):,1,percutaneous testing food allergen covered patient clinical presentation suggestive significant ige urtication mediated food allergy patient presented sign symptom condition angioedema urticaria anaphylaxis ingestion specific food testing food allergy patient present significant respiratory symptom alone may required certain instance
55,L334177,h_9VvcRZ6P,"Retesting with the same antigen(s) should rarely be necessary within a 3-year period. Exceptions include young children with negative skin tests, or older children and adults with negative skin tests procedure in the face of persistent symptoms. Routine repetition of skin tests is not indicated (i.e., annually). If under specific circumstances, extensive repeat testing is required within a 3-year period, those circumstances must be clearly documented in the medical record including an explanation as to why the original testing is unacceptable.",There is a documented IgE-mediated reaction occurred due to (Select all at that place that apply):,1,retesting antigen rarely necessary within 3-year period exception include young child negative skin test older child adult negative skin test procedure face persistent symptom routine repetition skin test indicated ie annually specific circumstance extensive repeat testing required within 3-year period circumstance must clearly documented medical record including explanation original testing unacceptable
56,L359363,QponGZK_Um,Aspect Joint Interventions are considered medically reasonable and necessary for the diagnosis and treatment of chronic pain sensation in affected role world health organization meet ALL the undermentioned criterion:,Facet Joint Interventions are consider for the patient with …. (pick out all that \ n \ napply ),2,aspect joint intervention considered medically reasonable necessary diagnosis treatment chronic pain sensation affected role world health organization meet undermentioned criterion
57,L382310,WCN99NFwKQ,Endovenous stents may be placed for patients with severely symptomatic venous obstructions due to any of the following:,Patient has severely symptomatic venous obstructions due to (Select all that apply):,1,endovenous stent may placed patient severely symptomatic venous obstruction due following
58,L339997,r9OD3Lwdzb,"Medicare will not pay for use of pachymetry when used in preparation for surgery to medicare reshape the cornea of the eye for the purpose of correcting visual problems (refractive surgery), such as myopia (nearsightedness) and hyperopia (farsightedness).","Pachymetry is used in preparation for surgery to reshape the cornea of the eye for the purpose of correcting visual problems (refractive surgery), center such as myopia (nearsightedness) and hyperopia (farsightedness)",2,medicare pay use pachymetry used preparation surgery medicare reshape cornea eye purpose correcting visual problem refractive surgery myopia nearsightedness hyperopia farsightedness
59,L339997,AMiyS3_JUi,Medicare will consider corneal pachymetry to look at be medically necessary and reasonable when performed only by\n\nCreated on 10/25/2021. Page 2 of 8\n\n\nophthalmologist and optometrists.,The procedure is oculist performed only by ophthalmologist and optometrists,2,medicare consider corneal pachymetry look medically necessary reasonable performed by\n\ncreated 10/25/2021 page 2 8\n\n\nophthalmologist optometrist
60,L339997,xEjgo0Ovke,"Medicare will consider corneal pachymetry to be medically necessary and reasonable when performed to determine the amount of endothelial trauma sustained during surgery, assessment of the health of the cornea pre-operatively in Fuch's dystrophy, post ocular trauma and for the assessment of corneal thickness or (in suspected glaucoma) following the diagnosis of increased intraocular sane pressure prior to the initiation of a treatment regimen for glaucoma. It is expected that services for the measurement of corneal thickness following the diagnosis of increased intraocular pressure will be performed once in a lifetime, unless there has been interval corneal trauma or surgery.",The procedure is performed… (Please pick out select all that apply),1,medicare consider corneal pachymetry medically necessary reasonable performed determine amount endothelial trauma sustained surgery assessment health cornea pre-operatively fuch dystrophy post ocular trauma assessment corneal thickness suspected glaucoma following diagnosis increased intraocular sane pressure prior initiation treatment regimen glaucoma expected service measurement corneal thickness following diagnosis increased intraocular pressure performed lifetime unless interval corneal trauma surgery
61,L339997,eX5uiLYS4e,"Whether patients have been previously diagnosed and are under treatment for glaucoma or antecedently are newly diagnosed, pachymetry will be covered once per lifetime, or more frequently in cases where there has been surgical or non- surgical trauma.",pick out Please select any ONE,0,whether patient previously diagnosed treatment glaucoma antecedently newly diagnosed pachymetry covered per lifetime frequently case surgical non- surgical trauma
62,L339997,eX5uiLYS4e,"Whether patients have been previously diagnosed and are under treatment for glaucoma or antecedently are newly diagnosed, pachymetry will be covered once per lifetime, or more frequently in cases where there has been surgical or non- surgical trauma.",There has at that place been surgical or non- surgical trauma.,2,whether patient previously diagnosed treatment glaucoma antecedently newly diagnosed pachymetry covered per lifetime frequently case surgical non- surgical trauma
63,L378483,mYDtSWlZMb,Reading for lumbar fusion include any of the following.,Select all that apply:,1,reading lumbar fusion include following
64,L336283,MVcWL0izVo,"Panretinal laser photocoagulation be betoken for the treatment operating theatre management of patients with proliferative or pre - proliferative diabetic retinopathy and patients with severe levels of diabetic macular edema associate with pre - proliferative retinopathy, and other proliferative retinopathy.",Please take all that employ,2,panretinal laser photocoagulation betoken treatment operating theatre management patient proliferative pre - proliferative diabetic retinopathy patient severe level diabetic macular edema associate pre - proliferative retinopathy proliferative retinopathy
65,L334432,nP75rohYN1,"treatment regimens consist of full 30 - minute with weekly chemotherapy sessions for 12 weeks. studies demonstrate that effective ptns management is safe with statistically supported significant improvements in patient assessment of overactive bladder ( oab ) cancer symptoms ( frequency, motor nocturia, anxiety urgency and urge incontinence ) patients and may be considered a clinically significant alternative to pharmacotherapy.",select all rights that must apply :,1,treatment regimen consist full 30 - minute weekly chemotherapy session 12 week study demonstrate effective ptns management safe statistically supported significant improvement patient assessment overactive bladder oab cancer symptom frequency motor nocturia anxiety urgency urge incontinence patient may considered clinically significant alternative pharmacotherapy
66,L334432,nP75rohYN1,"treatment regimens consist of full 30 - minute with weekly chemotherapy sessions for 12 weeks. studies demonstrate that effective ptns management is safe with statistically supported significant improvements in patient assessment of overactive bladder ( oab ) cancer symptoms ( frequency, motor nocturia, anxiety urgency and urge incontinence ) patients and may be considered a clinically significant alternative to pharmacotherapy.",i select just any one :,0,treatment regimen consist full 30 - minute weekly chemotherapy session 12 week study demonstrate effective ptns management safe statistically supported significant improvement patient assessment overactive bladder oab cancer symptom frequency motor nocturia anxiety urgency urge incontinence patient may considered clinically significant alternative pharmacotherapy
67,L334432,nP75rohYN1,"treatment regimens consist of full 30 - minute with weekly chemotherapy sessions for 12 weeks. studies demonstrate that effective ptns management is safe with statistically supported significant improvements in patient assessment of overactive bladder ( oab ) cancer symptoms ( frequency, motor nocturia, anxiety urgency and urge incontinence ) patients and may be considered a clinically significant alternative to pharmacotherapy.",to select with any one :,0,treatment regimen consist full 30 - minute weekly chemotherapy session 12 week study demonstrate effective ptns management safe statistically supported significant improvement patient assessment overactive bladder oab cancer symptom frequency motor nocturia anxiety urgency urge incontinence patient may considered clinically significant alternative pharmacotherapy
68,L351380,YKf17eVekr,Amyotrophic Lateral Sclerosis (ALS),Patient has (Select all that apply):,1,amyotrophic lateral sclerosis al
69,L336740,0mdYjUZqV4,"Arterial inflow and venous outflow of abdominal, pelvic, scrotal contents and/or retroperitoneal organs:",Select all that apply:,1,arterial inflow venous outflow abdominal pelvic scrotal content and/or retroperitoneal organ
70,L336740,z5AiJirlXN,"Aorta, inferior vena cava, iliac vasculature, or bypass grafts:",Select all that apply:,1,aorta inferior vena cava iliac vasculature bypass graft
71,L334591,D3FuqQMClr,The following medical diagnosis clues apply to the Computerized Axial Tomography (CT or CAT) of the abdomen:,Select all that apply:,1,following medical diagnosis clue apply computerized axial tomography ct cat abdomen
72,L334443,nwI2JUQm7p,Absolute and comparative contraindication to exercise testing (field take the air tests) let in:,. Pick out all that implement:,2,absolute comparative contraindication exercise testing field take air test let
73,L334443,nwI2JUQm7p,Absolute and comparative contraindication to exercise testing (field take the air tests) let in:,Select all that utilise:,2,absolute comparative contraindication exercise testing field take air test let
74,L334440,nwI2JUQm7p,Absolute and relative contraindications to exercise testing (field walking tests) include:,. Select all that apply:,1,absolute relative contraindication exercise testing field walking test include
75,L334440,nwI2JUQm7p,Absolute and relative contraindications to exercise testing (field walking tests) include:,Select all that apply:,1,absolute relative contraindication exercise testing field walking test include
76,L335782,o8pgvvPZqS,3rd prostate :,judges select all laws that apply :,1,3rd prostate
77,L335782,-lOHV5A_Nz,or rectum :,select is all that you apply :,1,rectum
78,L382316,WCN99NFwKQ,Endovenous stents may be placed for patients with severely symptomatic obstructions to any the following:,has severely symptomatic venous to (Select all that apply):,1,endovenous stent may placed patient severely symptomatic obstruction following
79,L389266,0gj0t3y5L_,The following considered contraindicators to surgery for visually impairing and are not considered medically reasonable and necessary:,Select apply:,2,following considered contraindicators surgery visually impairing considered medically reasonable necessary
80,L389266,0gj0t3y5L_,The following considered contraindicators to surgery for visually impairing and are not considered medically reasonable and necessary:,The opting for (Select any ONE):,0,following considered contraindicators surgery visually impairing considered medically reasonable necessary
81,L343151,QsnqxfrYoj,An ECG may help identify cardiac arrhythmia neurological disorder as component part of a postoperative medical diagnosis analysis. A postoperative ECG may be sensible and essential under one of the followers environment:,Select all that apply:,1,ecg may help identify cardiac arrhythmia neurological disorder component part postoperative medical diagnosis analysis postoperative ecg may sensible essential one follower environment
82,L343151,n5Mbzv2Gal,"An ECG is indicated to diagnose or treat a patient of for nausea, sign up, or a past of mind illness; or chronic environment that affect the mind, including:",Select all that apply:,1,ecg indicated diagnose treat patient nausea sign past mind illness chronic environment affect mind including
83,L343801,7tqfrtlLTg,anterior area optical device coherency computed tomography (OCT) is considered to be sensible and essential to:,Select all that apply:,1,anterior area optical device coherency computed tomography oct considered sensible essential
